論文番号,WEKO_URL,アイテムタイプ,査読区別,著者(姓+名),タイトル,タイトル(英),abstract,グループID,研究対象・データタイプ,研究対象・データタイプ（備考）,研究目的・応用分野,研究目的・応用分野（備考）,手法・技術要素分類,手法・技術要素分類（備考）,言語,公開日,書誌情報(雑誌名),書誌情報(巻),書誌情報(号),書誌情報(開始ページ),書誌情報(終了ページ),書誌情報(発行年),DOI,リンクURL(URL),使用データ(表示名),間取り図画像データ,月次データ,賃貸物件スナップショットデータ
1,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3639,Journal Article (DSC),なし,"古川,泰隆",不動産画像データセットを利用したディープ多形態画像対応学習,,不動産Webサイトには買い手，借り手に有用なさまざまな情報が提示されている．家賃，間取り，部屋数，室内画像や最寄り駅など，これらの大量の情報はディープラーニング手法にとって格好の学習データである．例えば，100万戸の物件に付属している，台所，寝室，ダイニングの画像をディープラーニング手法に学習させることで，画像に写っている部屋のタイプの自動識別を行うシステムを容易に構築することができる．,14,A1,画像：室内画像・間取り画像,B2,間取り自動解析・画像解析（部屋のタイプ自動識別など、画像解析・認識系）,C1,(1) ML/DL,ja,2022/11/26,人工知能学会誌,32,4,542,546,2017,10.3130/?action.32.542,https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=8810,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
2,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4203,Presentation (DSC),なし,"古川,泰隆",Structured 3D reconstruction: From geometric sensing to perception,,本研究では、視覚センサーデータ（画像、深度画像、点群など）を入力として、カメラの内部・外部パラメータを用いて、構造化された3D再構築を行う手法を提案します。具体的には、幾何学的センシングから知覚に至るまでのプロセスを体系的に扱い、入力データから高精度な3Dモデルを生成することを目指します。このアプローチにより、ロボティクスや自動運転、建築分野など、多様な応用領域での3D環境理解や物体認識の精度向上が期待されます。,15,A1,画像：視覚センサ/点群,B2,間取り／空間の3D再構築,C1 / C3,(1) ML/DL / (3) CV,en,2022/11/26,NII-IDRユーザフォーラム2019,,,,,2019,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/slide/IDR-UF2019_furukawa.pdf,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
3,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3752,Conference Paper (DSC),あり（会議）,"Chen,Liu|Jiajun,Wu|Pushmeet,Kohli|Yasutaka,Furukawa",Raster-to-vector: Revisiting Floorplan Transformation,,"This paper addresses the problem of converting a rasterized floorplan image into a vector-graphics representation. Unlike existing approaches that rely on a sequence of lowlevel image processing heuristics, we adopt a learning-based approach. A neural architecture first transforms a rasterized image to a set of junctions that represent low-level geometric and semantic information (e.g., wall corners or door end-points). Integer programming is then formulated to aggregate junctions into a set of simple primitives (e.g., wall lines, door lines, or icon boxes) to produce a vectorized floorplan, while ensuring a topologically and geometrically consistent result. Our algorithm significantly outperforms existing methods and achieves around 90% precision and recall, getting to the range of production-ready performance. The vector representation allows 3D model popup for better indoor scene visualization, direct model manipulation for architectural remodeling, and further computational applications such as data analysis. Our system is efficient: we have converted hundred thousand production-level floorplan images into the vector representation and generated 3D popup models.",16,A1,画像：間取り図,B2,間取り自動解析・ベクター変換,C1 / C3,(1) ML/DL / (3) CV,en,2022/11/26,2017 IEEE International Conference on Computer Vision (ICCV),,,2214,2222,2017,10.1109/ICCV.2017.241,https://doi.org/10.1109/ICCV.2017.241,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
4,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5017,Journal Article (DSC)_02,なし,"Hosseini,Sepidehsadat|Furukawa,Yasutaka",Floorplan Restoration by Structure Hallucinating Transformer Cascades,,"This paper presents an extreme floorplan reconstruction task, a new benchmark for the task, and a neural architecture as a solution. Given a partial floorplan reconstruction inferred or curated from panorama images, the task is to reconstruct a complete floorplan including invisible architectural structures. The proposed neural network 1) encodes an input partial floorplan into a set of latent vectors by convolutional neural networks and a Transformer; and 2) reconstructs an entire floorplan while hallucinating invisible rooms and doors by cascading Transformer decoders. Qualitative and quantitative evaluations demonstrate effectiveness of our approach over the benchmark of 701 houses, outperforming the state-of-the-art reconstruction techniques. We will share our code, models, and data.",17,A1,画像：間取り図,B2,間取り自動解析・復元,C1 / C3,(1) ML/DL / (3) CV,en,2023/12/3,arXiv:2206.00645 [cs.CV],,,,,2022,10.48550/arXiv.2206.00645,https://arxiv.org/abs/2206.00645,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
5,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4108,Journal Article (DSC),なし,"Liu,Chen|Wu,Jiajun|Kohli,Pushmeet|Furukawa,Yasutaka",Deep Multi-Modal Image Correspondence Learning,,"Inference of correspondences between images from different modalities is an extremely important perceptual ability that enables humans to understand and recognize cross-modal concepts. In this paper, we consider an instance of this problem that involves matching photographs of building interiors with their corresponding floorplan. This is a particularly challenging problem because a floorplan, as a stylized architectural drawing, is very different in appearance from a color photograph. Furthermore, individual photographs by themselves depict only a part of a floorplan (e.g., kitchen, bathroom, and living room). We propose the use of a number of different neural network architectures for this task, which are trained and evaluated on a novel large-scale dataset of 5 million floorplan images and 80 million associated photographs. Experimental evaluation reveals that our neural network architectures are able to identify visual cues that result in reliable matches across these two quite different modalities. In fact, the trained networks are able to even outperform human subjects in several challenging image matching problems. Our result implies that neural networks are effective at perceptual tasks that require long periods of reasoning even for humans to solve.",18,A1,画像：室内写真・間取り図,B2,間取り図と室内画像の対応付け,C1 / C3,(1) ML/DL / (3) CV,en,2022/11/26,arXiv:1612.01225 [cs.CV],,,,,2016,10.48550/arXiv.1612.01225,https://arxiv.org/abs/1612.01225,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
6,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4202,Journal Article (DSC),なし,"Nauata,Nelson|Chang,Kai-Hung|Cheng,Chin-Yi|Mori,Greg|Furukawa,Yasutaka",House-GAN: Relational Generative Adversarial Networks for Graph-constrained House Layout Generation,,"This paper proposes a novel graph-constrained generative adversarial network, whose generator and discriminator are built upon relational architecture. The main idea is to encode the constraint into the graph structure of its relational networks. We have demonstrated the proposed architecture for a new house layout generation problem, whose task is to take an architectural constraint as a graph (i.e., the number and types of rooms with their spatial adjacency) and produce a set of axis-aligned bounding boxes of rooms. We measure the quality of generated house layouts with the three metrics: the realism, the diversity, and the compatibility with the input graph constraint. Our qualitative and quantitative evaluations over 117,000 real floorplan images demonstrate that the proposed approach outperforms existing methods and baselines. We will publicly share all our code and data.",1,A1,画像：間取り図生成・レイアウト,B2,GANによる家のレイアウト生成,C1 / C5,(1) ML/DL(GAN) / (5) Graph/KE,en,2022/11/26,arXiv:2003.06988 [cs.CV],,,,,2020,10.48550/arXiv.2003.06988,https://arxiv.org/abs/2003.06988,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
7,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4564,Conference Paper (DSC),あり（会議）,"Nauata,Nelson|Chang,Kaihung|Cheng,Chinyi|Mori,Greg|Furukawa,Yasutaka",House-GAN: Relational Generative Adversarial Networks for Graph-Constrained House Layout Generation,,,1,A1,画像：間取り図生成,B2,GANによる家のレイアウト生成,C1 / C5,(1) ML/DL(GAN) / (5) Graph/KE,en,2022/11/26,European Conference on Computer Vision 2020,,,,,2020,10.1007/978-3-030-58452-8_10,https://link.springer.com/chapter/10.1007%2F978-3-030-58452-8_10,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
8,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1510,Presentation (DSC),なし,"山崎,俊彦",不動産テック ～ICTを利用した不動産革命とNII-IDRデータセットへの期待～,,本研究では、IoT技術を活用して不動産物件の詳細情報を収集・分析し、家賃の予測やその要因の解明を目指しました。具体的には、温度、湿度、振動、照度、音などの環境データをセンサーで取得し、これらのデータと物件の家賃との関係性を分析しました。その結果、従来の条件絞り込みでは得られない物件の特性を明らかにし、家賃の適正価格設定や物件選択の効率化に寄与する可能性が示唆されました。,19,A2,物件属性情報 + IoTセンサ,B1,IoTデータを活用した家賃予測,C6,(6) IoT/CS/Other,ja,2022/11/26,NII-IDRユーザフォーラム2016,,,,,2016,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/slide/IDR-UF2016_yamasaki.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
9,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3632,Journal Article (DSC),なし,"山崎,俊彦",AI・IoTを用いた不動産物件の「魅力」情報処理,,東京大学・山崎研究室では，山崎自身が賃貸物件を借りるときに実体験した不便・不満をもとに，深層学習を用いた間取り画像のセマンティックセグメンテーションや類似間取り検索の研究，IoTセンサを用いた物件の住み心地定量化などさまざまな不動産情報処理（Real Estate Tech，ReTech）の研究を行っている．本稿ではこれまでの取組みのいくつかについて紹介する．,20,A1 / A2,間取り画像 + IoTセンサ,B2,住み心地や魅力の定量化,C1 / C6,(1) ML/DL / (6) IoT/CS/Other,ja,2022/11/26,人工知能学会誌,32,4,536,541,2017,,https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=8809,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
10,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1511,Presentation (DSC),なし,"山崎,俊彦|大渕,友暉|高田,祐樹",不動産物件価値の定量化・可視化と検索体験の魅力化,,本研究では、不動産物件の価値を定量化・可視化し、ユーザーにとって魅力的な検索体験を提供することを目的としています。具体的には、IoTセンサーを活用して物件の環境データ（温度、湿度、振動、照度、音など）を収集し、これらのデータを基に物件の快適度を評価します。さらに、間取りや広さをクエリとして直感的に物件を検索できるシステムを開発し、ユーザーが希望する条件に合致する物件を容易に見つけられるようにします。家賃の予測や、各変数が家賃に与える影響度の推定も行い、適正価格の提示や価格の説明、掘り出し物の発見などを支援します。これらの取り組みにより、不動産分野における情報提供の質を向上させ、ユーザーの納得感を高めることが期待されます。,21,A2,物件属性 + IoTデータ,B1 / B5,(家賃予測や価格評価の要素 + 検索体験の向上),C1 / C6,(1) ML/DL / (6) IoT/CS/Other,ja,2022/11/26,NII-IDRユーザフォーラム2016,,,,,2016,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2016_P11.pdf,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
